CATAID,FILENAMENATIVE,FILENAMEINVERT,TELESCOPE,SURVEY,RA,DEC,PETRORADARCSEC,PETRORADKPC,PETROAPPMAG,PETROABSMAG
598860,G598860-native-424.png,G598860-invert-424.png,VST 2.6m,GAMA-KiDS,129.07108438,0.27600309,6.73144164,17.4302332482662,18.9998035430908,-20.2387720298448
598875,G598875-native-424.png,G598875-invert-424.png,VST 2.6m,GAMA-KiDS,129.17402,0.32894917,7.96872384,15.7944064140976,18.6575355529785,-19.8476088409596
598877,G598877-native-424.png,G598877-invert-424.png,VST 2.6m,GAMA-KiDS,129.09472367,0.26430381,6.52962816,16.4998469319791,19.771951675415,-19.3974501358332
598888,G598888-native-424.png,G598888-invert-424.png,VST 2.6m,GAMA-KiDS,129.2044389,0.21311918,10.37974608,24.8269421613011,19.3483657836914,-19.6671661044038
598889,G598889-native-424.png,G598889-invert-424.png,VST 2.6m,GAMA-KiDS,129.13460868,0.39174042,10.68403248,7.22007980692921,19.7188186645508,-16.1471731489322
598890,G598890-native-424.png,G598890-invert-424.png,VST 2.6m,GAMA-KiDS,129.16700691,0.35420177,13.894254,20.6822653190954,19.2957439422607,-18.4694210755254
598900,G598900-native-424.png,G598900-invert-424.png,VST 2.6m,GAMA-KiDS,129.33054385,0.39922409,12.0439242,12.3980358943566,18.1406517028809,-18.7179885378822
598911,G598911-native-424.png,G598911-invert-424.png,VST 2.6m,GAMA-KiDS,129.30130306,0.38743001,26.97767424,22.7275111134641,17.2390995025635,-19.1424478264705
598923,G598923-native-424.png,G598923-invert-424.png,VST 2.6m,GAMA-KiDS,129.40416978,0.36946696,14.52878064,21.7025231259463,18.3723182678223,-19.4016601893509
598922,G598922-native-424.png,G598922-invert-424.png,VST 2.6m,GAMA-KiDS,129.39537301,0.3610823,9.02656656,14.1743328792526,18.6184425354004,-19.2820411055846
598926,G598926-native-424.png,G598926-invert-424.png,VST 2.6m,GAMA-KiDS,129.45738449,0.29211484,9.83382048,15.113860178097,18.4609508514404,-19.3850319947652
598929,G598929-native-424.png,G598929-invert-424.png,VST 2.6m,GAMA-KiDS,129.53161373,0.40968028,26.25991632,40.5256898237176,16.342098236084,-21.5142941905406
598930,G598930-native-424.png,G598930-invert-424.png,VST 2.6m,GAMA-KiDS,129.5269412,0.40641635,8.8254243,13.4978007474047,18.534252166748,-19.2993359507742
598931,G598931-native-424.png,G598931-invert-424.png,VST 2.6m,GAMA-KiDS,129.53077191,0.39415728,5.7400497,11.959670884457,18.9034576416016,-19.735099047459
598938,G598938-native-424.png,G598938-invert-424.png,VST 2.6m,GAMA-KiDS,129.52489906,0.34085675,9.07310448,13.5143652984079,19.0882930755615,-18.6784788816771
598939,G598939-native-424.png,G598939-invert-424.png,VST 2.6m,GAMA-KiDS,129.53098937,0.40168227,5.7635424,8.46674939503663,19.4582691192627,-18.2736422551361
598943,G598943-native-424.png,G598943-invert-424.png,VST 2.6m,GAMA-KiDS,129.52144612,0.36364224,9.86066928,14.6772610044778,19.7096462249756,-18.0553780726114
