CATAID,FILENAMENATIVE,FILENAMEINVERT,TELESCOPE,SURVEY,RA,DEC,PETRORADARCSEC,PETRORADKPC,PETROAPPMAG,PETROABSMAG
585591,G585591-native-424.png,G585591-invert-424.png,VST 2.6m,GAMA-KiDS,183.49789499,-0.16766405,8.94445398,20.1258539392916,17.6035938262939,-21.2434278014581
585600,G585600-native-424.png,G585600-invert-424.png,VST 2.6m,GAMA-KiDS,183.42823656,-0.02442331,9.47583648,21.0482294487329,19.3351955413818,-19.4765841098262
585601,G585601-native-424.png,G585601-invert-424.png,VST 2.6m,GAMA-KiDS,183.4293652,-0.05253383,12.77644896,5.68722015775464,19.3507385253906,-15.5584308075343
585603,G585603-native-424.png,G585603-invert-424.png,VST 2.6m,GAMA-KiDS,183.50219516,-0.16954766,12.42920448,20.957354250025,19.4292907714844,-18.6532473499097
585614,G585614-native-424.png,G585614-invert-424.png,VST 2.6m,GAMA-KiDS,183.71178167,-0.0960903,8.24750388,11.9701832578631,19.1424179077148,-18.5591207607423
585625,G585625-native-424.png,G585625-invert-424.png,VST 2.6m,GAMA-KiDS,183.74395576,-0.07660287,13.6492587,19.6377443541236,16.8984565734863,-20.7811529896784
585621,G585621-native-424.png,G585621-invert-424.png,VST 2.6m,GAMA-KiDS,183.72855451,-0.0879786,7.78078224,11.2362886734615,18.5023441314697,-19.1866043184008
585622,G585622-native-424.png,G585622-invert-424.png,VST 2.6m,GAMA-KiDS,183.73711142,-0.04659765,8.86614498,14.8899543986918,18.0834217071533,-19.9888411444485
585623,G585623-native-424.png,G585623-invert-424.png,VST 2.6m,GAMA-KiDS,183.73804065,-0.09442073,14.07414096,29.7552559633958,17.3960342407227,-21.2817942372974
585624,G585624-native-424.png,G585624-invert-424.png,VST 2.6m,GAMA-KiDS,183.73853124,-0.07377459,10.31956002,14.9489311865242,17.0931339263916,-20.6036110991238
585631,G585631-native-424.png,G585631-invert-424.png,VST 2.6m,GAMA-KiDS,183.85179334,-0.05796359,7.51229424,14.0560016589929,17.5582542419434,-20.7947260286491
919218,G919218-native-424.png,G919218-invert-424.png,VST 2.6m,GAMA-KiDS,183.97520831,-0.01553864,9.083844,13.8505435046483,19.7967967987061,-18.0290396360611
585665,G585665-native-424.png,G585665-invert-424.png,VST 2.6m,GAMA-KiDS,184.01422235,-0.02723918,18.98568144,42.8177368244189,17.6221199035645,-21.2311854121644
585659,G585659-native-424.png,G585659-invert-424.png,VST 2.6m,GAMA-KiDS,183.87770471,-0.04940701,32.5854936,17.1165501079224,16.7871513366699,-18.4988874859477
585680,G585680-native-424.png,G585680-invert-424.png,VST 2.6m,GAMA-KiDS,183.95698798,-0.19919065,9.91436688,18.472856886975,19.0376892089844,-19.3042942121802
585695,G585695-native-424.png,G585695-invert-424.png,VST 2.6m,GAMA-KiDS,184.11396005,-0.14377238,21.77616672,48.8729789173924,17.1650695800781,-21.6749411236977
585698,G585698-native-424.png,G585698-invert-424.png,VST 2.6m,GAMA-KiDS,184.141998,-0.20144231,12.92411736,17.8618465722718,16.072380065918,-21.5067402255188
585699,G585699-native-424.png,G585699-invert-424.png,VST 2.6m,GAMA-KiDS,184.14262763,-0.18295818,11.29260528,16.8213140354154,18.5920963287354,-19.1748267051001
