CATAID,FILENAMENATIVE,FILENAMEINVERT,TELESCOPE,SURVEY,RA,DEC,PETRORADARCSEC,PETRORADKPC,PETROAPPMAG,PETROABSMAG
261517,G261517-native-424.png,G261517-invert-424.png,VST 2.6m,GAMA-KiDS,214.83414677,2.48588692,9.42034896,17.7346345681221,18.6814594268799,-19.6876453309317
261518,G261518-native-424.png,G261518-invert-424.png,VST 2.6m,GAMA-KiDS,214.8424637,2.55045765,7.71500268,12.3102880380004,19.0787563323975,-18.8624770015828
261521,G261521-native-424.png,G261521-invert-424.png,VST 2.6m,GAMA-KiDS,214.87988894,2.38619199,16.0690068,17.0453551596503,15.6128406524658,-21.3180501727432
261522,G261522-native-424.png,G261522-invert-424.png,VST 2.6m,GAMA-KiDS,214.88548614,2.38690927,8.57953404,8.86921028572708,18.653039932251,-18.2157673326549
261536,G261536-native-424.png,G261536-invert-424.png,VST 2.6m,GAMA-KiDS,214.82779831,2.58215264,13.84861104,27.4850214439601,18.2874050140381,-20.2212594225891
261545,G261545-native-424.png,G261545-invert-424.png,VST 2.6m,GAMA-KiDS,214.97600335,2.57486078,8.10968004,13.7224401453568,17.7391986846924,-20.3524356163495
261556,G261556-native-424.png,G261556-invert-424.png,VST 2.6m,GAMA-KiDS,215.01970702,2.43254095,9.41318928,16.0882291567596,18.6851825714111,-19.4322323682725
261564,G261564-native-424.png,G261564-invert-424.png,VST 2.6m,GAMA-KiDS,214.97887685,2.58031396,12.46858272,21.1377111252707,19.0140819549561,-19.0823753993561
261571,G261571-native-424.png,G261571-invert-424.png,VST 2.6m,GAMA-KiDS,215.04715189,2.55088974,6.89477184,16.2015584855483,19.5540161132812,-19.4123439338081
261574,G261574-native-424.png,G261574-invert-424.png,VST 2.6m,GAMA-KiDS,215.19478764,2.38406645,13.61950128,20.2949567771516,18.2554779052734,-19.512380545764
261575,G261575-native-424.png,G261575-invert-424.png,VST 2.6m,GAMA-KiDS,215.20194555,2.52778467,11.72218608,12.5995324763114,16.5006980895996,-20.4620270844575
261576,G261576-native-424.png,G261576-invert-424.png,VST 2.6m,GAMA-KiDS,215.20224695,2.52286077,12.89816352,13.8963280869215,17.7895755767822,-19.1788578235424
261592,G261592-native-424.png,G261592-invert-424.png,VST 2.6m,GAMA-KiDS,215.20853837,2.53501377,8.07969888,18.578887523526,18.7089786529541,-20.1975827915115
261594,G261594-native-424.png,G261594-invert-424.png,VST 2.6m,GAMA-KiDS,215.07073468,2.4371956,9.00911484,12.5933220972297,19.5818214416504,-18.025633495138
261597,G261597-native-424.png,G261597-invert-424.png,VST 2.6m,GAMA-KiDS,215.10042148,2.52936227,7.2133776,11.5545119305062,19.5194969177246,-18.4316048810036
261596,G261596-native-424.png,G261596-invert-424.png,VST 2.6m,GAMA-KiDS,215.08751741,2.50889359,6.94130976,7.66502964627684,19.4716091156006,-17.5564238578727
261610,G261610-native-424.png,G261610-invert-424.png,VST 2.6m,GAMA-KiDS,215.24716513,2.5357915,8.73458586,12.2364249347211,17.8927783966064,-19.7201621598096
261612,G261612-native-424.png,G261612-invert-424.png,VST 2.6m,GAMA-KiDS,215.28921978,2.42366958,6.95853774,8.24998851086696,19.1365242004395,-18.0643593262598
261616,G261616-native-424.png,G261616-invert-424.png,VST 2.6m,GAMA-KiDS,215.35927718,2.47633486,16.2077256,32.5843595743648,17.8153419494629,-20.7276210037972
261615,G261615-native-424.png,G261615-invert-424.png,VST 2.6m,GAMA-KiDS,215.3574986,2.36947947,10.31016294,14.8654711297701,17.0477428436279,-20.6372404742889
261613,G261613-native-424.png,G261613-invert-424.png,VST 2.6m,GAMA-KiDS,215.33632752,2.42615314,19.08412704,19.924499103505,15.848970413208,-21.0436273477254
261619,G261619-native-424.png,G261619-invert-424.png,VST 2.6m,GAMA-KiDS,215.24267544,2.45601167,13.14875232,30.9126821328151,18.36208152771,-20.6056500154225
